"state","location","both_sexes_2003","females_2003","males_2003"
"Georgia","Fulton County",60.5,54.1,67.1
"Georgia","Cobb County",60.1,53.2,67.3
"Georgia","Fayette County",58.8,50.6,67.4
"Georgia","DeKalb County",58,50.7,65.5
"Georgia","Forsyth County",57.7,51.2,64.4
"Georgia","Clarke County",57,51.4,62.7
"Georgia","Gwinnett County",55.6,48.5,62.9
"Georgia","Cherokee County",54.8,47.2,62.7
"Georgia","Chatham County",54.6,46.5,63
"Georgia","Oconee County",53.3,47.2,59.5
"Georgia","Glynn County",53.2,45.9,60.8
"Georgia","Columbia County",52.7,44.6,61.2
"Georgia","Muscogee County",52.3,40.5,64.6
"Georgia","Bryan County",51.4,41.8,61.4
"Georgia","Coweta County",49.5,40.4,58.9
"Georgia","Camden County",48.9,39.7,58.5
"Georgia","Georgia",48.9,41.1,57.1
"Georgia","Richmond County",48.5,41.1,56.1
"Georgia","Rockdale County",48.5,41.9,55.4
"Georgia","Douglas County",48,41.4,54.8
"Georgia","Chattahoochee County",47.8,34.4,61.6
"Georgia","Harris County",47.7,37.8,58
"Georgia","Lowndes County",47.7,39.2,56.5
"Georgia","Henry County",47.5,38.2,57.1
"Georgia","Lee County",47.1,37.3,57.3
"Georgia","Putnam County",47,39.1,55.3
"Georgia","Clayton County",46.7,38.1,55.7
"Georgia","Bulloch County",46.5,37.5,55.9
"Georgia","Pickens County",46.5,40.5,52.7
"Georgia","Bibb County",46.4,37.3,56
"Georgia","Paulding County",46.4,38.4,54.7
"Georgia","Dougherty County",46.2,36.5,56.2
"Georgia","Baldwin County",46.1,39.5,53
"Georgia","Houston County",46.1,36.5,56.1
"Georgia","Troup County",46.1,35.5,57
"Georgia","Liberty County",45.6,36.6,54.9
"Georgia","Newton County",45.5,37.2,54
"Georgia","Lumpkin County",45.3,37.7,53.2
"Georgia","White County",45.3,39,51.8
"Georgia","Morgan County",45.2,36.6,54
"Georgia","Effingham County",45,34.2,56.1
"Georgia","Rabun County",44.9,38.5,51.6
"Georgia","Monroe County",44.8,35.9,53.9
"Georgia","Barrow County",44.6,34.8,54.8
"Georgia","Dawson County",44.5,36.8,52.5
"Georgia","Hall County",43.8,36.6,51.3
"Georgia","Jones County",43.6,34.3,53.2
"Georgia","Schley County",43.4,31.8,55.4
"Georgia","Spalding County",43.4,35.3,51.9
"Georgia","Greene County",43.3,33.9,53.1
"Georgia","Walton County",43.1,36.4,50
"Georgia","Thomas County",42.9,33.5,52.6
"Georgia","McIntosh County",42.7,33.7,51.9
"Georgia","Peach County",42.7,32.3,53.4
"Georgia","Carroll County",42.6,34.8,50.8
"Georgia","Bartow County",41.9,36.3,47.7
"Georgia","Sumter County",41.8,31,53.1
"Georgia","Lamar County",41.3,32.1,50.8
"Georgia","Jasper County",41.1,31.8,50.8
"Georgia","Meriwether County",41.1,32,50.5
"Georgia","Jackson County",40.9,33.5,48.5
"Georgia","Screven County",40.9,29,53.3
"Georgia","Towns County",40.8,34.5,47.3
"Georgia","Union County",40.4,35,46
"Georgia","Brooks County",40.2,31,49.7
"Georgia","Crawford County",40.2,29.3,51.4
"Georgia","Oglethorpe County",40.1,31.8,48.9
"Georgia","Seminole County",40.1,29.8,50.7
"Georgia","Terrell County",40.1,29.6,51
"Georgia","Gilmer County",39.8,31.7,48.2
"Georgia","Heard County",39.8,29.8,50.2
"Georgia","Talbot County",39.7,28.4,51.4
"Georgia","Wilkes County",39.7,31.9,47.7
"Georgia","Butts County",39.6,31,48.6
"Georgia","Crisp County",39.6,30.4,49.2
"Georgia","Clay County",39.4,27.2,52.1
"Georgia","Berrien County",39.3,27.2,51.9
"Georgia","Marion County",39.1,28.6,50
"Georgia","Evans County",38.9,29.2,49
"Georgia","Hart County",38.8,31.6,46.3
"Georgia","Pulaski County",38.8,27.1,50.9
"Georgia","Early County",38.7,26.3,51.5
"Georgia","Decatur County",38.6,27.8,49.8
"Georgia","Floyd County",38.4,32.3,44.7
"Georgia","Miller County",38.4,27,50.2
"Georgia","Tift County",38.4,27.5,49.7
"Georgia","Washington County",38.4,28.1,49.2
"Georgia","McDuffie County",38.2,28.2,48.5
"Georgia","Macon County",38,27.5,49
"Georgia","Baker County",37.8,26.6,49.5
"Georgia","Pike County",37.8,27.8,48.1
"Georgia","Madison County",37.7,29.5,46.2
"Georgia","Cook County",37.6,26.9,48.8
"Georgia","Elbert County",37.6,30.2,45.2
"Georgia","Quitman County",37.6,25.2,50.5
"Georgia","Stewart County",37.5,26.6,48.8
"Georgia","Habersham County",37.4,30.4,44.7
"Georgia","Dade County",37.3,28.8,46.2
"Georgia","Upson County",37.3,29.8,45.1
"Georgia","Burke County",37.2,27.7,47
"Georgia","Candler County",37.2,27.4,47.5
"Georgia","Echols County",37.1,26.2,48.4
"Georgia","Grady County",36.8,27.3,46.6
"Georgia","Colquitt County",36.7,26.8,47
"Georgia","Lincoln County",36.7,27.4,46.3
"Georgia","Ware County",36.7,28.1,45.7
"Georgia","Haralson County",36.5,28.1,45.1
"Georgia","Mitchell County",36.5,27,46.4
"Georgia","Gordon County",36.4,28.9,44.1
"Georgia","Hancock County",36.4,28.5,44.6
"Georgia","Ben Hill County",36.2,26.5,46.3
"Georgia","Lanier County",36,25.2,47.1
"Georgia","Long County",36,27.3,45.1
"Georgia","Catoosa County",35.8,28.8,43.1
"Georgia","Clinch County",35.7,24.9,46.9
"Georgia","Worth County",35.7,25.6,46.1
"Georgia","Emanuel County",35.6,26,45.6
"Georgia","Laurens County",35.4,27.1,44
"Georgia","Wilkinson County",35.4,26.1,45.1
"Georgia","Randolph County",35.3,24.7,46.2
"Georgia","Toombs County",35.2,26.6,44.2
"Georgia","Charlton County",35.1,26.6,43.9
"Georgia","Glascock County",35.1,27.6,43
"Georgia","Irwin County",34.9,24.3,45.9
"Georgia","Whitfield County",34.8,26.2,43.7
"Georgia","Chattooga County",34.7,27.9,41.7
"Georgia","Wayne County",34.7,25,44.7
"Georgia","Jefferson County",34.6,25.7,43.8
"Georgia","Telfair County",34.6,24.8,44.7
"Georgia","Walker County",34.6,27.6,41.8
"Georgia","Franklin County",34.5,24.5,44.9
"Georgia","Dooly County",34.4,24.3,44.9
"Georgia","Taylor County",34.4,24.6,44.6
"Georgia","Polk County",34.2,27.4,41.1
"Georgia","Stephens County",34.2,26,42.7
"Georgia","Tattnall County",34,25.2,43
"Georgia","Bleckley County",33.9,26.2,41.8
"Georgia","Fannin County",33.6,27.7,39.8
"Georgia","Jenkins County",33.6,24.8,42.7
"Georgia","Calhoun County",33.4,22,45.2
"Georgia","Warren County",33.3,25,41.9
"Georgia","Montgomery County",32.7,22.4,43.4
"Georgia","Webster County",32.7,22.8,43
"Georgia","Murray County",32.5,24.1,41.1
"Georgia","Banks County",32.4,24.7,40.3
"Georgia","Coffee County",32.3,22.4,42.6
"Georgia","Turner County",32.2,22.6,42.3
"Georgia","Treutlen County",31.9,23.6,40.4
"Georgia","Taliaferro County",31.7,23.6,40
"Georgia","Twiggs County",31.7,22.4,41.4
"Georgia","Brantley County",30.7,22.5,39.3
"Georgia","Pierce County",30.4,22.1,39
"Georgia","Bacon County",30.3,20.6,40.4
"Georgia","Dodge County",30.2,20.6,40.2
"Georgia","Appling County",29.5,19.9,39.4
"Georgia","Johnson County",29.5,20.7,38.6
"Georgia","Wheeler County",29.3,20.4,38.5
"Georgia","Atkinson County",28.4,18.2,38.9
"Georgia","Jeff Davis County",28.4,19.5,37.6
"Georgia","Wilcox County",28,19.1,37.3
